case_type,case_description,case_rank,query_id,difficulty,positive_count,B0_metadata_only__hit_at_10,B1_bm25_only__hit_at_10,B2_vector_only__hit_at_10,B3_vector_postfilter__hit_at_10,B4_prefilter_vector__hit_at_10,B5_hybrid__hit_at_10,B0_metadata_only__latency_ms,B1_bm25_only__latency_ms,B2_vector_only__latency_ms,B3_vector_postfilter__latency_ms,B4_prefilter_vector__latency_ms,B5_hybrid__latency_ms,B0_metadata_only__mrr,B1_bm25_only__mrr,B2_vector_only__mrr,B3_vector_postfilter__mrr,B4_prefilter_vector__mrr,B5_hybrid__mrr,B0_metadata_only__ndcg_at_10,B1_bm25_only__ndcg_at_10,B2_vector_only__ndcg_at_10,B3_vector_postfilter__ndcg_at_10,B4_prefilter_vector__ndcg_at_10,B5_hybrid__ndcg_at_10,B0_metadata_only__recall_at_1,B1_bm25_only__recall_at_1,B2_vector_only__recall_at_1,B3_vector_postfilter__recall_at_1,B4_prefilter_vector__recall_at_1,B5_hybrid__recall_at_1,B0_metadata_only__recall_at_10,B1_bm25_only__recall_at_10,B2_vector_only__recall_at_10,B3_vector_postfilter__recall_at_10,B4_prefilter_vector__recall_at_10,B5_hybrid__recall_at_10,B0_metadata_only__recall_at_20,B1_bm25_only__recall_at_20,B2_vector_only__recall_at_20,B3_vector_postfilter__recall_at_20,B4_prefilter_vector__recall_at_20,B5_hybrid__recall_at_20,B0_metadata_only__recall_at_5,B1_bm25_only__recall_at_5,B2_vector_only__recall_at_5,B3_vector_postfilter__recall_at_5,B4_prefilter_vector__recall_at_5,B5_hybrid__recall_at_5,b4_minus_b2__recall_at_10,b4_minus_b2__recall_at_20,b4_minus_b2__mrr,b4_minus_b2__ndcg_at_10,b4_minus_b2__hit_at_10,b4_minus_b2__latency_ms,b4_minus_b3__recall_at_10,b4_minus_b3__recall_at_20,b4_minus_b3__mrr,b4_minus_b3__ndcg_at_10,b4_minus_b3__hit_at_10,b4_minus_b3__latency_ms,b5_minus_b4__recall_at_10,b5_minus_b4__recall_at_20,b5_minus_b4__mrr,b5_minus_b4__ndcg_at_10,b5_minus_b4__hit_at_10,b5_minus_b4__latency_ms,b1_minus_b2__recall_at_10,b1_minus_b2__recall_at_20,b1_minus_b2__mrr,b1_minus_b2__ndcg_at_10,b1_minus_b2__hit_at_10,b1_minus_b2__latency_ms,b2_minus_b1__recall_at_10,b2_minus_b1__recall_at_20,b2_minus_b1__mrr,b2_minus_b1__ndcg_at_10,b2_minus_b1__hit_at_10,b2_minus_b1__latency_ms,query_text,metadata_filter_text,semantic_filter_text,qrel_filter_text
vector_failure_recovered_by_prefilter,"B2 vector-only has no relevant item in top-10, but B4 metadata prefilter has a hit.",1,vru:medium:0056,medium,7,0.0,0.0,0.0,1.0,1.0,1.0,0.005770009011030197,134.2768589965999,120.9244579076767,4.821883048862219,3.5806018859148026,134.79983992874622,0.07692307692307693,0.013513513513513514,0.013888888888888888,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,0.9861111111111112,1.0,1.0,-117.3438560217619,0.0,0.0,0.0,0.0,0.0,-1.2412811629474163,0.0,0.0,0.0,0.0,0.0,131.21923804283142,0.0,0.0,-0.00037537537537537385,0.0,0.0,13.352401088923216,0.0,0.0,0.00037537537537537385,0.0,0.0,-13.352401088923216,Find videos where the accident type is ego-car hits a crossing pedestrian on a curve road.,"{""road_type"": ""curve""}","{""accident_type"": ""ego-car hits a crossing pedestrian""}","{""accident_type"": ""ego-car hits a crossing pedestrian"", ""road_type"": ""curve""}"
vector_failure_recovered_by_prefilter,"B2 vector-only has no relevant item in top-10, but B4 metadata prefilter has a hit.",2,vru:medium:0057,medium,7,1.0,0.0,0.0,1.0,1.0,1.0,0.003941357135772705,132.61461164802313,119.73874317482114,4.830529913306236,2.241597045212984,131.0078096576035,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0,1.0,0.9803771474638898,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428572,0.9285714285714286,1.0,1.0,-117.49714612960815,0.0,0.0,0.0,0.0,0.0,-2.588932868093252,0.0,0.0,0.0,0.0,0.0,128.76621261239052,0.0,0.0,0.0,0.0,0.0,12.87586847320199,0.0,0.0,0.0,0.0,0.0,-12.87586847320199,Find videos where the accident type is ego-car hits a crossing pedestrian on a residential road.,"{""road_type"": ""residential""}","{""accident_type"": ""ego-car hits a crossing pedestrian""}","{""accident_type"": ""ego-car hits a crossing pedestrian"", ""road_type"": ""residential""}"
vector_failure_recovered_by_prefilter,"B2 vector-only has no relevant item in top-10, but B4 metadata prefilter has a hit.",3,vru:medium:0060,medium,6,0.0,0.0,0.0,1.0,1.0,1.0,0.023256056010723114,132.62901082634926,121.38273334130645,4.837719723582268,17.05375500023365,148.70999893173575,0.017241379310344827,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.33333333333333337,0.9090909090909091,1.0,1.0,-104.3289783410728,0.0,0.0,0.0,0.0,0.0,12.216035276651382,0.0,0.0,0.0,0.0,0.0,131.6562439315021,0.0,0.0,0.0,0.0,0.0,11.24627748504281,0.0,0.0,0.0,0.0,0.0,-11.24627748504281,Find videos where the accident type is ego-car hits a pedestrian on a T-junction road.,"{""road_type"": ""T-junction""}","{""accident_type"": ""ego-car hits a pedestrian""}","{""accident_type"": ""ego-car hits a pedestrian"", ""road_type"": ""T-junction""}"
prefilter_beats_postfilter,B4 searches inside the filtered candidate set and outperforms B3 post-filtering.,1,vru:medium:0149,medium,3,1.0,1.0,0.0,0.0,1.0,1.0,0.0027441419661045074,124.01246186345816,115.44904299080372,4.769922699779272,1.1194520629942417,123.78781288862228,0.5,0.25,0.0,0.0,1.0,1.0,0.7122630665145963,0.5400753810454858,0.0,0.0,1.0,0.9060254355346823,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-114.32959092780948,1.0,1.0,1.0,1.0,1.0,-3.6504706367850304,0.0,0.0,0.0,-0.09397456446531771,0.0,122.66836082562804,1.0,1.0,0.25,0.5400753810454858,1.0,8.563418872654438,-1.0,-1.0,-0.25,-0.5400753810454858,-1.0,-8.563418872654438,Find videos recorded in rainy night where the accident type is car hits pedestrian.,"{""weather_light"": ""rainy night""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""weather_light"": ""rainy night""}"
prefilter_beats_postfilter,B4 searches inside the filtered candidate set and outperforms B3 post-filtering.,2,vru:strong:0200,strong,3,1.0,1.0,0.0,0.0,1.0,1.0,0.002364162355661392,123.32049570977688,113.12999716028571,4.9629490822553635,1.1139330454170704,123.04526986554265,1.0,0.5,0.0,0.0,1.0,1.0,0.9674679834891693,0.7122630665145963,0.0,0.0,1.0,0.9674679834891693,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-112.01606411486864,1.0,1.0,1.0,1.0,1.0,-3.849016036838293,0.0,0.0,0.0,-0.03253201651083071,0.0,121.93133682012558,1.0,1.0,0.5,0.7122630665145963,1.0,10.190498549491167,-1.0,-1.0,-0.5,-0.7122630665145963,-1.0,-10.190498549491167,Find rainy night urban accident videos on arterials roads where the accident type is car hits pedestrian.,"{""location"": ""urban"", ""road_type"": ""arterials"", ""weather_light"": ""rainy night""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""location"": ""urban"", ""road_type"": ""arterials"", ""weather_light"": ""rainy night""}"
prefilter_beats_postfilter,B4 searches inside the filtered candidate set and outperforms B3 post-filtering.,3,vru:strong:0199,strong,3,1.0,0.0,0.0,1.0,1.0,1.0,0.003254041075706482,164.03195820748806,149.35394702479243,5.816010292619467,1.3620201498270035,129.99387783929706,0.5,0.025,0.0,1.0,1.0,1.0,0.7328286204777911,0.0,0.0,0.4692787260227565,1.0,0.9060254355346823,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-147.99192687496543,0.6666666666666667,0.6666666666666667,0.0,0.5307212739772436,0.0,-4.453990142792463,0.0,0.0,0.0,-0.09397456446531771,0.0,128.63185768947005,0.0,0.0,0.025,0.0,0.0,14.678011182695627,0.0,0.0,-0.025,0.0,0.0,-14.678011182695627,Find rainy day urban accident videos on T-junction roads where the accident type is car hits pedestrian.,"{""location"": ""urban"", ""road_type"": ""T-junction"", ""weather_light"": ""rainy day""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""location"": ""urban"", ""road_type"": ""T-junction"", ""weather_light"": ""rainy day""}"
hybrid_beats_prefilter,"B5 hybrid gains over B4, usually when lexical evidence complements dense retrieval.",1,vru:weak:0029,weak,25,1.0,1.0,0.0,0.0,0.0,1.0,0.15480490401387215,126.97471771389246,115.61113828793168,4.875825718045235,146.00783120840788,270.1438032090664,0.1111111111111111,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.06625422345438903,1.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.4,0.0,0.0,0.0,0.4,0.04,0.8,0.32,0.32,0.32,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30.396692920476198,0.0,0.0,0.0,0.0,0.0,141.13200549036264,0.4,0.27999999999999997,0.9230769230769231,1.0,1.0,124.13597200065851,0.4,0.48000000000000004,0.9230769230769231,1.0,1.0,11.36357942596078,-0.4,-0.48000000000000004,-0.9230769230769231,-1.0,-1.0,-11.36357942596078,Find accidents caused by: vehicles do not notice the pedestrians when turning or changling lanes.,{},"{""accident_reason"": ""vehicles do not notice the pedestrians when turning or changling lanes""}","{""accident_reason"": ""vehicles do not notice the pedestrians when turning or changling lanes""}"
hybrid_beats_prefilter,"B5 hybrid gains over B4, usually when lexical evidence complements dense retrieval.",2,vru:strong:0192,strong,5,0.0,1.0,1.0,1.0,1.0,1.0,0.03829505294561386,146.46729128435254,116.84729997068644,4.909026902168989,25.860617868602276,168.87441603466868,0.018518518518518517,0.5,0.25,0.3333333333333333,0.3333333333333333,1.0,0.0,0.7141683899119815,0.4869261866673365,0.6807182344492225,0.6807182344492225,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.2,0.6,0.6,1.0,0.19999999999999996,0.0,0.08333333333333331,0.19379204778188602,0.0,-90.98668210208416,0.0,0.0,0.0,0.0,0.0,20.951590966433287,0.0,0.0,0.6666666666666667,0.3192817655507775,0.0,143.0137981660664,0.19999999999999996,0.0,0.25,0.227242203244645,0.0,29.619991313666105,-0.19999999999999996,0.0,-0.25,-0.227242203244645,0.0,-29.619991313666105,Find sunny day urban accident videos on intersection roads where the accident type is motorbike hits cyclist.,"{""location"": ""urban"", ""road_type"": ""intersection"", ""weather_light"": ""sunny day""}","{""accident_type"": ""motorbike hits cyclist""}","{""accident_type"": ""motorbike hits cyclist"", ""location"": ""urban"", ""road_type"": ""intersection"", ""weather_light"": ""sunny day""}"
hybrid_beats_prefilter,"B5 hybrid gains over B4, usually when lexical evidence complements dense retrieval.",3,vru:medium:0062,medium,6,0.0,1.0,1.0,1.0,1.0,1.0,0.035387929528951645,131.1514349654317,120.46373635530472,4.884497728198767,30.24325892329216,160.20123986527324,0.012987012987012988,0.5,0.3333333333333333,0.5,0.5,1.0,0.0,0.7326492160647051,0.6555845429030186,0.7982650576674575,0.7982650576674575,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.0,0.0,0.16666666666666669,0.14268051476443888,0.0,-90.22047743201256,0.0,0.0,0.0,0.0,0.0,25.358761195093393,0.0,0.0,0.5,0.20173494233254252,0.0,129.95798094198108,0.0,0.0,0.16666666666666669,0.07706467316168653,0.0,10.687698610126972,0.0,0.0,-0.16666666666666669,-0.07706467316168653,0.0,-10.687698610126972,Find videos where the accident type is motorbike hits cyclist on a intersection road.,"{""road_type"": ""intersection""}","{""accident_type"": ""motorbike hits cyclist""}","{""accident_type"": ""motorbike hits cyclist"", ""road_type"": ""intersection""}"
lexical_beats_vector,"BM25 outperforms vector-only on the query, showing lexical baseline is necessary.",1,vru:medium:0116,medium,2,0.0,1.0,0.0,0.0,0.0,0.0,0.12179184705018997,128.53710306808352,119.10961894318461,5.036832299083471,107.37015912309289,249.07021271064878,0.0,1.0,0.022222222222222223,0.029411764705882353,0.029411764705882353,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071895424836601295,0.0,0.0,-11.739459820091724,0.0,0.0,0.0,0.0,0.0,102.33332682400942,0.0,1.0,0.04201680672268907,0.0,0.0,141.70005358755589,1.0,1.0,0.9777777777777777,1.0,1.0,9.42748412489891,-1.0,-1.0,-0.9777777777777777,-1.0,-1.0,-9.42748412489891,Find urban videos where the accident type is ego-car hits pedestrian.,"{""location"": ""urban""}","{""accident_type"": ""ego-car hits pedestrian""}","{""accident_type"": ""ego-car hits pedestrian"", ""location"": ""urban""}"
