qa_id,domain,fact_id,path,question,old_answer,new_answer,old_evidence,new_evidence,agent_quality_checked,human_reviewed,human_reviewer,human_notes
flask-00,flask,0,docs/async-await.rst,"In the current version of `docs/async-await.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

gevent with Flask , or Quart , or something else is ultimately up to understanding the specific needs of your project. . . _Quart: ____ . . _ASGI: https://asgi.readthedocs.io Extensions - - - - - - - - - - Flask extensions predating Flask ' s async support do",https://github.com/pallets/quart,https://quart.palletsprojects.com,"you should use Flask , Quart , or something else is ultimately up to understanding the specific needs of your project. . . _Quart: https://github.com/pallets/quart . . _ASGI: https://asgi.readthedocs.io/en/latest/ Extensions - - - - - - - - - - Flask extensions predating Flask ' s async support do","gevent with Flask , or Quart , or something else is ultimately up to understanding the specific needs of your project. . . _Quart: https://quart.palletsprojects.com . . _ASGI: https://asgi.readthedocs.io Extensions - - - - - - - - - - Flask extensions predating Flask ' s async support do",True,False,,
flask-03,flask,3,docs/design.rst,"In the current version of `docs/design.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

- - - - - - - - - - - - - - - - - - Flask decides on one template engine: ____ Why doesn ' t Flask have a pluggable template engine interface ? You can obviously use a different template engine , but Flask will",Jinja2.,Jinja.,"- - - - - - - - - - - - - - - - - - Flask decides on one template engine: Jinja2. Why doesn ' t Flask have a pluggable template engine interface ? You can obviously use a different template engine , but Flask will","- - - - - - - - - - - - - - - - - - Flask decides on one template engine: Jinja. Why doesn ' t Flask have a pluggable template engine interface ? You can obviously use a different template engine , but Flask will",True,False,,
flask-04,flask,4,docs/web-security.rst,"In the current version of `docs/web-security.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

in your application. The ` Flask-Talisman ` _ extension can be used to manage HTTPS and the security headers for you. . . _Flask-Talisman: ____ HTTP Strict Transport Security ( HSTS ) ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~",https://github.com/GoogleCloudPlatform/flask-talisman,https://github.com/wntrblm/flask-talisman,in your application. The ` Flask-Talisman ` _ extension can be used to manage HTTPS and the security headers for you. . . _Flask-Talisman: https://github.com/GoogleCloudPlatform/flask-talisman HTTP Strict Transport Security ( HSTS ) ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,in your application. The ` Flask-Talisman ` _ extension can be used to manage HTTPS and the security headers for you. . . _Flask-Talisman: https://github.com/wntrblm/flask-talisman HTTP Strict Transport Security ( HSTS ) ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,True,False,,
flask-05,flask,5,docs/index.rst,"In the current version of `docs/index.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: ____ : align: center : height: 200 px Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed",_static/flask-horizontal.svg,_static/flask-name.svg,rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: _static/flask-horizontal.svg : align: center : height: 200 px Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed,rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: _static/flask-name.svg : align: center : height: 200 px Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed,True,False,,
flask-06,flask,6,docs/index.rst,"In the current version of `docs/index.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: ____ : align: center : height: 200 px Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed",_static/flask-horizontal.png,_static/flask-horizontal.svg,rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: _static/flask-horizontal.png : align: center Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed to make getting started,rst-class:: hide-header Welcome to Flask = = = = = = = = = = = = = = = = . . image:: _static/flask-horizontal.svg : align: center : height: 200 px Welcome to Flask ' s documentation. Flask is a lightweight WSGI web application framework. It is designed,True,False,,
flask-07,flask,7,docs/server.rst,"In the current version of `docs/server.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

5000 . You can choose to disable this service instead of using a different port by searching for "" AirPlay Receiver "" in System ____ and toggling it off. Deferred Errors on Reload ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~",Preferences,Settings,"5000 . You can choose to disable this service instead of using a different port by searching for "" AirPlay Receiver "" in System Preferences and toggling it off. Deferred Errors on Reload ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~","5000 . You can choose to disable this service instead of using a different port by searching for "" AirPlay Receiver "" in System Settings and toggling it off. Deferred Errors on Reload ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~",True,False,,
flask-09,flask,9,docs/deploying/asgi.rst,"In the current version of `docs/deploying/asgi.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

= WsgiToAsgi ( app ) and then serving the ` ` asgi_app ` ` with the ASGI server , e.g. using ` Hypercorn < ____ > ` _ , . . sourcecode:: text $ hypercorn module:asgi_app",https://gitlab.com/pgjones/hypercorn,https://github.com/pgjones/hypercorn,"= WsgiToAsgi ( app ) and then serving the ` ` asgi_app ` ` with the ASGI server , e.g. using ` Hypercorn < https://gitlab.com/pgjones/hypercorn > ` _ , . . sourcecode:: text $ hypercorn module:asgi_app","= WsgiToAsgi ( app ) and then serving the ` ` asgi_app ` ` with the ASGI server , e.g. using ` Hypercorn < https://github.com/pgjones/hypercorn > ` _ , . . sourcecode:: text $ hypercorn module:asgi_app",True,False,,
flask-10,flask,10,docs/patterns/appdispatch.rst,"In the current version of `docs/patterns/appdispatch.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

to figure out the subdomain one simply looks at the request path up to the first slash:: from threading import Lock from wsgiref.util import ____ class PathDispatcher: def __init__ ( self , default_app , create_app ) : self.default_app = default_app self.create_app = create_app self.lock = Lock ( ) self.instances","pop_path_info , peek_path_info",shift_path_info,"to figure out the subdomain one simply looks at the request path up to the first slash:: from threading import Lock from werkzeug.wsgi import pop_path_info , peek_path_info class PathDispatcher: def __init__ ( self , default_app , create_app ) : self.default_app = default_app self.create_app = create_app self.lock = Lock ( ) self.instances","to figure out the subdomain one simply looks at the request path up to the first slash:: from threading import Lock from wsgiref.util import shift_path_info class PathDispatcher: def __init__ ( self , default_app , create_app ) : self.default_app = default_app self.create_app = create_app self.lock = Lock ( ) self.instances",True,False,,
flask-11,flask,11,docs/patterns/packages.rst,"In the current version of `docs/patterns/packages.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

toml [ project ] name = "" yourapplication "" dependencies = [ "" flask "" , ] [ build-system ] requires = [ "" ____ "" ] build-backend = "" flit_core.buildapi "" Install your application so it is importable: . . code-block:: text $ pip install - e .",setuptools,flit_core < 4,"toml [ project ] name = "" yourapplication "" dependencies = [ "" flask "" , ] [ build-system ] requires = [ "" setuptools "" ] build-backend = "" setuptools.build_meta "" Install your application so it is importable: . . code-block:: text $ pip install - e .","toml [ project ] name = "" yourapplication "" dependencies = [ "" flask "" , ] [ build-system ] requires = [ "" flit_core < 4 "" ] build-backend = "" flit_core.buildapi "" Install your application so it is importable: . . code-block:: text $ pip install - e .",True,False,,
flask-12,flask,12,docs/index.rst,"In the current version of `docs/index.rst`, the documentation contains the following passage with one exact span omitted. What text belongs in the blank?

to check their documentation as well as Flask ' s when looking for information. . . _Werkzeug: https://werkzeug.palletsprojects.com . . _Jinja: https://jinja.palletsprojects.com . . ____ User ' s Guide - - - - - - - - - - - - Flask provides configuration and conventions , with sensible",_Werkzeug: https://www.palletsprojects.com/p/werkzeug/,_Click: https://click.palletsprojects.com,"- ` Jinja documentation < https://jinja.palletsprojects.com/ > ` _ - ` Werkzeug documentation < https://werkzeug.palletsprojects.com/ > ` _ . . _Jinja: https://www.palletsprojects.com/p/jinja/ . . _Werkzeug: https://www.palletsprojects.com/p/werkzeug/ User ' s Guide - - - - - - - - - - - - Flask provides configuration and conventions , with sensible","to check their documentation as well as Flask ' s when looking for information. . . _Werkzeug: https://werkzeug.palletsprojects.com . . _Jinja: https://jinja.palletsprojects.com . . _Click: https://click.palletsprojects.com User ' s Guide - - - - - - - - - - - - Flask provides configuration and conventions , with sensible",True,False,,
