domain,fact_id,arm,expected_letter,current_letter,predicted_letter,task_correct,latest_answer_correct,option_a,option_b,raw_output
flask,0,current_only,B,B,B,1,1,https://github.com/pallets/quart,https://quart.palletsprojects.com,The answer is B
flask,0,missing,U,B,B,0,1,https://github.com/pallets/quart,https://quart.palletsprojects.com,B
flask,0,mixed_old_last,A,A,A,1,1,https://quart.palletsprojects.com,https://github.com/pallets/quart,The answer is A
flask,0,mixed_new_last,A,A,A,1,1,https://quart.palletsprojects.com,https://github.com/pallets/quart,The answer is A
flask,1,current_only,A,A,INVALID,0,0,to be set.,object in some way.,The evidence supports the
flask,1,missing,U,A,A,0,1,to be set.,object in some way.,The answer is A
flask,1,mixed_old_last,A,A,B,0,0,to be set.,object in some way.,B
flask,1,mixed_new_last,B,B,B,1,1,object in some way.,to be set.,B
flask,2,current_only,B,B,B,1,1,flask.Flask.template_filter,. Flask.template_filter,B
flask,2,missing,U,B,B,0,1,flask.Flask.template_filter,. Flask.template_filter,B
flask,2,mixed_old_last,B,B,INVALID,0,0,flask.Flask.template_filter,. Flask.template_filter,The correct answer is
flask,2,mixed_new_last,A,A,B,0,0,. Flask.template_filter,flask.Flask.template_filter,B
flask,3,current_only,A,A,A,1,1,Jinja.,Jinja2.,The answer is A
flask,3,missing,U,A,INVALID,0,0,Jinja.,Jinja2.,Since there is no
flask,3,mixed_old_last,B,B,INVALID,0,0,Jinja2.,Jinja.,Based on the retrieved
flask,3,mixed_new_last,A,A,INVALID,0,0,Jinja.,Jinja2.,Based on the retrieved
flask,4,current_only,A,A,B,0,0,https://github.com/wntrblm/flask-talisman,https://github.com/GoogleCloudPlatform/flask-talisman,B
flask,4,missing,U,A,B,0,0,https://github.com/wntrblm/flask-talisman,https://github.com/GoogleCloudPlatform/flask-talisman,B
flask,4,mixed_old_last,A,A,B,0,0,https://github.com/wntrblm/flask-talisman,https://github.com/GoogleCloudPlatform/flask-talisman,B
flask,4,mixed_new_last,B,B,B,1,1,https://github.com/GoogleCloudPlatform/flask-talisman,https://github.com/wntrblm/flask-talisman,B
flask,5,current_only,B,B,INVALID,0,0,_static/flask-horizontal.svg,_static/flask-name.svg,Based on the retrieved
flask,5,missing,U,A,INVALID,0,0,_static/flask-name.svg,_static/flask-horizontal.svg,Since there is no
flask,5,mixed_old_last,A,A,INVALID,0,0,_static/flask-name.svg,_static/flask-horizontal.svg,Based on the retrieved
flask,5,mixed_new_last,B,B,INVALID,0,0,_static/flask-horizontal.svg,_static/flask-name.svg,Based on the retrieved
flask,6,current_only,B,B,INVALID,0,0,_static/flask-horizontal.png,_static/flask-horizontal.svg,Based on the retrieved
flask,6,missing,U,B,INVALID,0,0,_static/flask-horizontal.png,_static/flask-horizontal.svg,Since there is no
flask,6,mixed_old_last,B,B,INVALID,0,0,_static/flask-horizontal.png,_static/flask-horizontal.svg,Based on the retrieved
flask,6,mixed_new_last,A,A,A,1,1,_static/flask-horizontal.svg,_static/flask-horizontal.png,The answer is A
flask,7,current_only,A,A,INVALID,0,0,Settings,Preferences,The correct answer is
flask,7,missing,U,A,INVALID,0,0,Settings,Preferences,The correct answer is
flask,7,mixed_old_last,A,A,B,0,0,Settings,Preferences,B
flask,7,mixed_new_last,B,B,B,1,1,Preferences,Settings,B
flask,8,current_only,A,A,INVALID,0,0,many types,all kinds,Based on the retrieved
flask,8,missing,U,B,INVALID,0,0,all kinds,many types,Since there is no
flask,8,mixed_old_last,B,B,INVALID,0,0,all kinds,many types,Based on the retrieved
flask,8,mixed_new_last,B,B,INVALID,0,0,all kinds,many types,Based on the retrieved
