mode,qtype,gold,pred,correct
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,no,0
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,no,0
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,yes,no,0
distractor,bus,yes,yes,1
oracle,bus,yes,yes,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
